,Menuo,Is viso naudotu transporto priemoniu,Is ju M1 klases naudotu lengvuju automobiliu,Is viso nauju transporto priemoniu,Is ju M1 klases nauju lengvuju automobiliu
0,Sausis,9177,7476,3972,2306
1,Vasaris,10517,8365,4434,2235
2,Kovas,14967,11345,6688,3073
3,Balandis,18176,14114,6736,3613
4,Gegužė,14017,10920,6972,3933
5,Birželis,16054,12809,6345,3474
6,Liepa,16790,13674,5492,3252
7,Rugpjūtis,15985,13282,4227,2371
8,Rugsėjis,15829,13136,4999,2022
9,Spalis,15575,13073,3887,1548
10,Lapkritis,13424,11118,4065,1761
11,Gruodis,13336,11367,3658,1783
12,Iš viso,173847,140679,61475,31371
