Unnamed: 0,Mėnuo,VOLKSWAGEN,BMW,AUDI,OPEL,TOYOTA,Is ju M1 klases naudotu lengvuju automobiliu
0,Sausis,1202,974,695,470,470,7476
1,Vasaris,1319,1022,767,549,545,8365
2,Kovas,1782,1334,1012,844,771,11345
3,Balandis,2188,1877,1267,986,925,14114
4,Gegužė,1682,1402,1048,749,733,10920
5,Birželis,1919,1591,1132,856,937,12809
6,Liepa,2129,1753,1274,1006,974,13674
7,Rugpjūtis,2164,1673,1249,937,881,13282
8,Rugsėjis,2110,1715,1246,896,861,13136
9,Spalis,2008,1707,1240,927,959,13073
10,Lapkritis,1746,1377,1014,761,751,11118
11,Gruodis,1703,1433,1096,763,776,11367
12,Iš viso,21952,17858,13040,9744,9583,140679
