,Menuo,Is viso naudotu transporto priemoniu,Is ju M1 klases naudotu lengvuju automobiliu,Is viso nauju transporto priemoniu,Is ju M1 klases nauju lengvuju automobiliu
0,Sausis,11051,9163,4189,2241
1,Vasaris,11556,9336,3761,1901
2,Kovas,12825,9725,5237,2350
3,Balandis,16310,13170,5162,2345
4,Gegužė,18567,14850,5731,2626
5,Birželis,17800,14127,5319,2519
6,Liepa,14145,10858,4917,2130
7,Rugpjūtis,14882,11650,4922,2246
8,Rugsėjis,14810,11798,5203,2216
9,Spalis,15619,12454,4810,1711
10,Lapkritis,15270,11983,4294,1766
11,Gruodis,14195,11440,2953,1445
12,Iš viso,177030,140554,56498,25496
