Unnamed: 0,Mėnuo,FIAT,TOYOTA,VOLKSWAGEN,SKODA,PEUGEOT,Is ju M1 klases nauju lengvuju automobiliu
0,Sausis,754,401,209,177,86,2306
1,Vasaris,865,285,185,161,75,2235
2,Kovas,929,418,301,181,169,3073
3,Balandis,669,694,552,232,219,3613
4,Gegužė,1193,644,413,251,246,3933
5,Birželis,892,582,416,210,246,3474
6,Liepa,424,676,424,267,220,3252
7,Rugpjūtis,126,391,453,126,197,2371
8,Rugsėjis,122,428,168,123,140,2022
9,Spalis,61,276,144,115,126,1548
10,Lapkritis,29,297,272,137,107,1761
11,Gruodis,43,332,279,218,96,1783
12,Iš viso,6107,5424,3816,2198,1927,31371
